('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '47812')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '46042')
('SPAB7', '', '', '37421', '41443')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '37012')
('SPAB7', '', '', '37421', '34212')
('SPAB7', '', '', '37421', '31374')
('SPAB7', '', '', '37421', '30283')
('SPAB7', '', '', '37421', '30283')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '30672')
('SPAB6', '', '', '37421', '41682')
('SPAB6', '', '', '37421', '46072')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB6', '', '', '37421', '33752')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '41442')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('SPAB9', '', '', '37421', '44983')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30882')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41752')
('LBSPAASH1112', '', '', '38200', '39054')
('LBSPAASH1112', '', '', '38200', '41332')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30203')
('LBSPAASH1112', '', '', '38200', '30203')
